Date,indicators/average_dormancy_supply_adjusted
2011-10-03,1.694050216528715e-07
2011-10-04,3.062653896847887e-07
2011-10-05,2.0257632626734487e-07
2011-10-06,2.113149838976517e-06
2011-10-07,4.3973491811913956e-07
2011-10-08,2.6410098034441063e-07
2011-10-09,1.021769203223471e-06
2011-10-10,4.726422640272542e-07
2011-10-11,6.228003335916441e-07
2011-10-12,6.131866799398374e-07
2011-10-13,3.312781029006386e-07
2011-10-14,6.430694463487416e-07
2011-10-15,2.834373426785372e-07
2011-10-16,1.1565266303104182e-06
2011-10-17,1.9245479592436033e-06
2011-10-18,1.1938850647129933e-06
2011-10-19,1.3862621370083705e-06
2011-10-20,2.4124535392943554e-07
2011-10-21,1.558913354038896e-07
2011-10-22,7.05836571354986e-07
2011-10-23,1.7666522388374731e-07
2011-10-24,1.5818371253512135e-07
2011-10-25,1.6243071130017153e-07
2011-10-26,4.915435915851793e-07
2011-10-27,5.793666066680436e-07
2011-10-28,2.2058260992422128e-07
2011-10-29,2.4134191125866333e-07
2011-10-30,1.4204273487743504e-06
2011-10-31,1.4143532748063648e-07
2011-11-01,5.524008374423943e-07
2011-11-02,1.2107034540792566e-07
2011-11-03,1.3907384238200615e-06
2011-11-04,8.972166598640679e-07
2011-11-05,1.8428592765243638e-07
2011-11-06,1.54573649928869e-07
2011-11-07,4.0277266692901005e-07
2011-11-08,1.352096731101108e-07
