Date,transactions/size_sum
2011-09-12,"3047790,0"
2011-09-13,"2664088,0"
2011-09-14,"2587023,0"
2011-09-15,"2805320,0"
2011-09-16,"2602989,0"
2011-09-17,"2259659,0"
2011-09-18,"2444881,0"
2011-09-19,"3050946,0"
2011-09-20,"3901907,0"
2011-09-21,"3707204,0"
2011-09-22,"2625415,0"
2011-09-23,"2644253,0"
2011-09-24,"2652709,0"
2011-09-25,"2575965,0"
2011-09-26,"2381725,0"
2011-09-27,"2610841,0"
2011-09-28,"2437317,0"
2011-09-29,"2228146,0"
2011-09-30,"2383073,0"
2011-10-01,"2277674,0"
2011-10-02,"2064996,0"
2011-10-03,"2576767,0"
2011-10-04,"2504782,0"
2011-10-05,"2417325,0"
2011-10-06,"2565234,0"
2011-10-07,"2431306,0"
2011-10-08,"2253036,0"
2011-10-09,"2281999,0"
2011-10-10,"2390778,0"
2011-10-11,"2672982,0"
2011-10-12,"2555308,0"
2011-10-13,"2096943,0"
2011-10-14,"2593100,0"
2011-10-15,"2294405,0"
2011-10-16,"2112530,0"
2011-10-17,"2655426,0"
2011-10-18,"2098678,0"
2011-10-19,"2163241,0"
2011-10-20,"1848242,0"
2011-10-21,"1934858,0"
2011-10-22,"2138983,0"
2011-10-23,"2246417,0"
2011-10-24,"2410675,0"
2011-10-25,"2152975,0"
2011-10-26,"2191362,0"
2011-10-27,"1898118,0"
2011-10-28,"2218291,0"
2011-10-29,"2424609,0"
2011-10-30,"2028331,0"
2011-10-31,"2046626,0"
2011-11-01,"2275694,0"
2011-11-02,"2313856,0"
2011-11-03,"2391245,0"
2011-11-04,"2744181,0"
2011-11-05,"2460674,0"
2011-11-06,"1878876,0"
2011-11-07,"2349846,0"
2011-11-08,"2644643,0"
2011-11-09,"2688707,0"
2011-11-10,"2760611,0"
2011-11-11,"2222019,0"
2011-11-12,"2156465,0"
2011-11-13,"2090743,0"
2011-11-14,"2592385,0"
2011-11-15,"2659525,0"
2011-11-16,"2585066,0"
2011-11-17,"2214571,0"
2011-11-18,"2176469,0"
2011-11-19,"2028197,0"
2011-11-20,"2374824,0"
2011-11-21,"1922037,0"
2011-11-22,"2316987,0"
2011-11-23,"2234420,0"
2011-11-24,"2240695,0"
2011-11-25,"2247390,0"
2011-11-26,"2046208,0"
2011-11-27,"2030563,0"
2011-11-28,"2523367,0"
2011-11-29,"2973906,0"
2011-11-30,"3261751,0"
2011-12-01,"2917303,0"
2011-12-02,"2669722,0"
2011-12-03,"2444807,0"
2011-12-04,"2260994,0"
2011-12-05,"2565156,0"
2011-12-06,"3344415,0"
2011-12-07,"2652817,0"
2011-12-08,"2721749,0"
2011-12-09,"2322310,0"
2011-12-10,"2334065,0"
2011-12-11,"2629195,0"
2011-12-12,"2372624,0"
2011-12-13,"2420830,0"
2011-12-14,"2356543,0"
2011-12-15,"1901577,0"
2011-12-16,"2311185,0"
2011-12-17,"2140899,0"
2011-12-18,"1901872,0"
2011-12-19,"2710778,0"
2011-12-20,"3310121,0"
2011-12-21,"2386841,0"
2011-12-22,"2517373,0"
2011-12-23,"2325704,0"
2011-12-24,"1896570,0"
2011-12-25,"2198555,0"
2011-12-26,"2387082,0"
2011-12-27,"2301266,0"
2011-12-28,"2182872,0"
2011-12-29,"2280401,0"
2011-12-30,"2080387,0"
2011-12-31,"2407713,0"
2012-01-01,"2570570,0"
2012-01-02,"2847973,0"
2012-01-03,"2852636,0"
2012-01-04,"2844382,0"
2012-01-05,"3584138,0"
2012-01-06,"3671951,0"
2012-01-07,"3020107,0"
2012-01-08,"3285274,0"
2012-01-09,"3298178,0"
2012-01-10,"4147554,0"
2012-01-11,"4167939,0"
2012-01-12,"3093829,0"
2012-01-13,"3005588,0"
2012-01-14,"2954451,0"
2012-01-15,"2870053,0"
2012-01-16,"3396443,0"
2012-01-17,"3023977,0"
2012-01-18,"3137823,0"
2012-01-19,"3142554,0"
2012-01-20,"2985457,0"
2012-01-21,"2959988,0"
2012-01-22,"2219005,0"
2012-01-23,"2530897,0"
2012-01-24,"3311141,0"
2012-01-25,"3657227,0"
2012-01-26,"3011547,0"
2012-01-27,"2977913,0"
2012-01-28,"2728555,0"
2012-01-29,"2949784,0"
2012-01-30,"2664554,0"
2012-01-31,"3233526,0"
2012-02-01,"2891754,0"
2012-02-02,"3398856,0"
2012-02-03,"3237255,0"
2012-02-04,"3267590,0"
2012-02-05,"2970789,0"
2012-02-06,"2694857,0"
2012-02-07,"2995803,0"
2012-02-08,"2995350,0"
2012-02-09,"3298285,0"
2012-02-10,"3765247,0"
2012-02-11,"3410073,0"
2012-02-12,"3009236,0"
2012-02-13,"3529959,0"
2012-02-14,"4319338,0"
2012-02-15,"3977129,0"
2012-02-16,"4438242,0"
2012-02-17,"2800414,0"
2012-02-18,"2721112,0"
2012-02-19,"2522773,0"
2012-02-20,"2604138,0"
2012-02-21,"2917292,0"
2012-02-22,"3045860,0"
2012-02-23,"3667890,0"
2012-02-24,"3242849,0"
2012-02-25,"2934546,0"
2012-02-26,"2648285,0"
2012-02-27,"2947193,0"
2012-02-28,"3044070,0"
2012-02-29,"2978041,0"
2012-03-01,"3369178,0"
2012-03-02,"3686456,0"
2012-03-03,"2242619,0"
2012-03-04,"2890857,0"
2012-03-05,"3468291,0"
2012-03-06,"3152395,0"
2012-03-07,"2901573,0"
2012-03-08,"3046688,0"
2012-03-09,"3072481,0"
2012-03-10,"2962716,0"
2012-03-11,"2544827,0"
2012-03-12,"2886126,0"
2012-03-13,"3898587,0"
2012-03-14,"3518080,0"
2012-03-15,"2973685,0"
2012-03-16,"3015083,0"
2012-03-17,"2998586,0"
2012-03-18,"2555122,0"
2012-03-19,"2957810,0"
2012-03-20,"2993015,0"
2012-03-21,"3013868,0"
2012-03-22,"2974704,0"
2012-03-23,"2648774,0"
2012-03-24,"2639896,0"
2012-03-25,"2760495,0"
2012-03-26,"3116609,0"
2012-03-27,"2972970,0"
2012-03-28,"3247747,0"
2012-03-29,"3300704,0"
2012-03-30,"3034211,0"
2012-03-31,"2678910,0"
2012-04-01,"2546450,0"
2012-04-02,"3026088,0"
2012-04-03,"3582604,0"
2012-04-04,"3153014,0"
2012-04-05,"3462274,0"
2012-04-06,"3417087,0"
2012-04-07,"2680607,0"
2012-04-08,"2625527,0"
2012-04-09,"2889199,0"
2012-04-10,"3650250,0"
2012-04-11,"3651330,0"
2012-04-12,"3688863,0"
2012-04-13,"3149399,0"
2012-04-14,"3452416,0"
2012-04-15,"3119476,0"
2012-04-16,"4039021,0"
2012-04-17,"3862273,0"
2012-04-18,"4222972,0"
2012-04-19,"3634533,0"
2012-04-20,"4294448,0"
2012-04-21,"3354618,0"
2012-04-22,"2915396,0"
2012-04-23,"3295823,0"
2012-04-24,"3375344,0"
2012-04-25,"3431142,0"
2012-04-26,"4162067,0"
2012-04-27,"3322063,0"
2012-04-28,"3256234,0"
2012-04-29,"3323403,0"
2012-04-30,"4113370,0"
2012-05-01,"4710978,0"
2012-05-02,"4646572,0"
2012-05-03,"6028283,0"
2012-05-04,"6217699,0"
2012-05-05,"5615455,0"
2012-05-06,"5600946,0"
2012-05-07,"7983673,0"
2012-05-08,"7705090,0"
2012-05-09,"7849793,0"
2012-05-10,"5337722,0"
2012-05-11,"8453576,0"
2012-05-12,"7873699,0"
