Date,distribution/balance_exchanges
2019-12-31,16918278.91645671
2020-01-01,16911103.598721996
2020-01-02,16930815.311936118
2020-01-03,16961269.668491162
2020-01-04,17001052.25359649
2020-01-05,16995413.208797883
2020-01-06,17056028.894488886
2020-01-07,17058984.839397434
2020-01-08,17136906.505819485
2020-01-09,17121904.971318487
2020-01-10,17140874.611884743
2020-01-11,17165496.10533881
2020-01-12,17192559.554903448
2020-01-13,17169774.04392779
2020-01-14,17259557.334837824
2020-01-15,17277537.523435783
2020-01-16,17306981.444214463
2020-01-17,17275835.344112504
2020-01-18,16995621.700721126
2020-01-19,16990715.132537432
2020-01-20,17001888.768063728
2020-01-21,17036062.50774783
2020-01-22,17026285.920591224
2020-01-23,17014292.836887095
2020-01-24,17060817.617372457
2020-01-25,17061357.08614832
2020-01-26,17066594.69160402
2020-01-27,17043908.76632232
2020-01-28,17031237.32444176
2020-01-29,17029577.220747404
2020-01-30,17062283.207092907
2020-01-31,17038723.723353177
2020-02-01,17134672.60936949
2020-02-02,17164529.55989492
2020-02-03,17168767.392319426
2020-02-04,17172052.56983778
2020-02-05,17197552.987855792
2020-02-06,17130605.696443677
2020-02-07,17165348.819632776
2020-02-08,17176370.984165777
2020-02-09,17143292.645428456
2020-02-10,17197852.010591537
2020-02-11,17225302.41970004
2020-02-12,17255636.141424075
2020-02-13,17263259.904417917
2020-02-14,17270275.325980894
2020-02-15,17272299.724052973
2020-02-16,17285436.493170556
2020-02-17,17395059.661402196
2020-02-18,17394918.880102765
2020-02-19,17400550.074640103
2020-02-20,17426199.344548915
2020-02-21,17463284.29437311
2020-02-22,17449987.346866854
2020-02-23,17421897.210830934
2020-02-24,17427560.886482984
2020-02-25,17465888.607681144
2020-02-26,17534026.632541113
2020-02-27,17589307.136578463
2020-02-28,17635797.11159704
2020-02-29,17634879.240757413
2020-03-01,17632084.135596264
2020-03-02,17669074.00227657
2020-03-03,17646411.275138628
2020-03-04,17608470.651606545
2020-03-05,17604415.457909487
2020-03-06,17590414.22037609
2020-03-07,17587286.44506307
2020-03-08,17560817.743796106
2020-03-09,17628807.022206325
2020-03-10,17642012.846211784
2020-03-11,17751378.28409884
2020-03-12,18180640.3966437
2020-03-13,18110194.271977533
2020-03-14,18242713.506037258
2020-03-15,18215176.513289522
2020-03-16,18375419.56438265
2020-03-17,18772930.54590568
2020-03-18,18764197.178390257
2020-03-19,18688196.98223433
2020-03-20,18603922.796357535
2020-03-21,18598097.72813344
2020-03-22,18580434.14844102
2020-03-23,18636275.567410354
2020-03-24,18697144.70917918
2020-03-25,18608148.378748648
2020-03-26,18607350.351519268
2020-03-27,18525618.671861265
2020-03-28,18517564.60619353
2020-03-29,18525473.68023789
2020-03-30,18518673.0423974
2020-03-31,18491081.079998612
2020-04-01,18515925.691904567
2020-04-02,18552504.411616378
2020-04-03,18515343.768817667
2020-04-04,18512800.216712818
2020-04-05,18539499.26293285
2020-04-06,18521520.5204611
2020-04-07,18569758.69460806
2020-04-08,18624584.659116857
2020-04-09,18620115.17056479
2020-04-10,18644574.606137197
2020-04-11,18587924.14259701
2020-04-12,18512024.577868067
