Date,supply/active_1w_1m
2017-09-11,9694208.87662326
2017-09-12,9963503.48571038
2017-09-13,9907078.90740895
2017-09-14,10234410.0401216
2017-09-15,10013728.1224786
2017-09-16,10187803.5413914
2017-09-17,9675115.66998124
2017-09-18,10270316.3098384
2017-09-19,11000888.0195675
2017-09-20,9820793.38377492
2017-09-21,9855944.84883426
2017-09-22,10124857.5032201
2017-09-23,10507227.1787442
2017-09-24,10497532.1478022
2017-09-25,10278940.961374
2017-09-26,10234812.316407
2017-09-27,10172278.0570686
2017-09-28,9957408.40263158
2017-09-29,9911070.50279862
2017-09-30,10042761.1286743
2017-10-01,9874033.85124712
2017-10-02,9462977.40684573
2017-10-03,9429819.86658189
2017-10-04,9782247.62703007
2017-10-05,9859753.55516478
2017-10-06,9705530.86946715
2017-10-07,9447278.04997273
2017-10-08,9497956.36087458
2017-10-09,10164269.3572986
2017-10-10,9796655.35329995
2017-10-11,9259296.20473678
2017-10-12,9078836.50609385
2017-10-13,9335569.30284608
2017-10-14,9142680.78002172
2017-10-15,8788119.78575883
2017-10-16,9046278.78946827
2017-10-17,8849254.26336957
2017-10-18,8444231.67936057
2017-10-19,8394721.73593077
2017-10-20,8442025.55996292
2017-10-21,8501265.40477949
2017-10-22,8406358.37917802
2017-10-23,8518585.28320708
2017-10-24,8495137.93284144
2017-10-25,8376350.28961786
2017-10-26,8463499.23782471
2017-10-27,8189224.78408064
2017-10-28,8411937.06663738
2017-10-29,8438693.95769702
2017-10-30,8203068.87159354
2017-10-31,8049866.81528311
2017-11-01,8150635.71109621
2017-11-02,8027004.53615354
2017-11-03,8031629.11093813
2017-11-04,8210302.44621541
2017-11-05,7675721.53615538
2017-11-06,7537423.8869388
2017-11-07,7548547.12012421
2017-11-08,7606717.18916186
2017-11-09,7382004.7864221
2017-11-10,7141824.63513074
2017-11-11,6972812.99464097
2017-11-12,6277468.14049546
2017-11-13,6209732.02660888
2017-11-14,6363910.46219263
2017-11-15,6336871.34672657
2017-11-16,6841411.10010091
2017-11-17,6903042.12879612
2017-11-18,7211011.06673505
2017-11-19,7431374.69408527
2017-11-20,7267730.8867748
2017-11-21,7179098.6618478
2017-11-22,7083911.25539966
2017-11-23,7245148.49897104
2017-11-24,7274175.30046063
2017-11-25,7152874.03439763
2017-11-26,7428872.43658667
