Date,supply/active_24h
2018-10-24,395856.608586507
2018-10-25,454692.27972981
2018-10-26,419892.865271806
2018-10-27,239744.81383876
2018-10-28,200127.684888847
2018-10-29,329897.039746897
2018-10-30,326365.239837044
2018-10-31,481325.133487453
2018-11-01,312447.99356646
2018-11-02,609208.29525698
2018-11-03,216425.839639191
2018-11-04,291454.719430196
2018-11-05,706163.375819556
2018-11-06,300047.283757226
2018-11-07,433773.092420956
2018-11-08,386352.797422154
2018-11-09,392777.629210052
2018-11-10,229034.304114758
2018-11-11,197075.764640876
2018-11-12,336686.310181902
2018-11-13,297816.627239553
2018-11-14,718880.319007995
2018-11-15,677191.428486434
2018-11-16,424842.16640369
2018-11-17,277967.861532867
2018-11-18,320924.914334645
2018-11-19,788278.957822502
2018-11-20,956172.148878295
2018-11-21,1293945.15104186
2018-11-22,491116.639699607
2018-11-23,599117.77923944
2018-11-24,448129.956627289
2018-11-25,553723.713124677
2018-11-26,711817.708714072
2018-11-27,496527.038071692
2018-11-28,633517.678430986
2018-11-29,1435489.72610614
2018-11-30,5781744.03540809
2018-12-01,4954744.96274427
2018-12-02,283914.920749538
2018-12-03,382233.019182766
2018-12-04,458469.727910937
2018-12-05,442653.057958628
2018-12-06,870730.410942532
2018-12-07,776263.148633139
2018-12-08,465195.097242767
2018-12-09,438349.111730676
2018-12-10,554818.746026752
2018-12-11,508758.388383898
2018-12-12,319266.254238492
2018-12-13,817953.702346066
2018-12-14,460297.413986007
2018-12-15,347031.608853724
2018-12-16,418604.265215677
2018-12-17,494419.453783184
2018-12-18,629058.824168528
2018-12-19,862065.211539904
2018-12-20,1080726.29061918
2018-12-21,1092968.22976633
2018-12-22,390240.728538898
2018-12-23,561451.335001237
2018-12-24,797899.598286902
2018-12-25,509309.563429507
2018-12-26,448428.638325595
2018-12-27,736575.843082756
2018-12-28,594573.853125239
2018-12-29,1020134.50490512
2018-12-30,369521.824218243
2018-12-31,452318.762779419
2019-01-01,374746.266259938
2019-01-02,536086.790217281
2019-01-03,570980.170571511
2019-01-04,1264251.8311635
2019-01-05,1318071.99774029
2019-01-06,477409.710932212
2019-01-07,460340.150202234
2019-01-08,525003.970173745
2019-01-09,545484.689788634
2019-01-10,623076.850896984
2019-01-11,1907223.70141289
2019-01-12,266760.075625498
2019-01-13,1430418.72484956
2019-01-14,670197.070520966
2019-01-15,559348.397461786
2019-01-16,886594.737656962
2019-01-17,441139.266747199
2019-01-18,283592.353807489
2019-01-19,245412.808752582
2019-01-20,295751.704000094
2019-01-21,327462.260474956
2019-01-22,364934.56117497
2019-01-23,291667.689306383
2019-01-24,301485.805826534
2019-01-25,328871.916579743
2019-01-26,168507.07441888
2019-01-27,245032.675006333
2019-01-28,672922.210770719
2019-01-29,428183.88540081
2019-01-30,598105.769843453
2019-01-31,349389.802203235
2019-02-01,369007.158776345
2019-02-02,276437.364476825
2019-02-03,296959.477728015
2019-02-04,173860.58553269
2019-02-05,234892.820952473
2019-02-06,315737.506326881
2019-02-07,267596.483636928
2019-02-08,411932.404080275
2019-02-09,207235.781749095
2019-02-10,190882.225583103
2019-02-11,282231.510554494
2019-02-12,334658.107959909
2019-02-13,596554.323187916
2019-02-14,261551.84934595
2019-02-15,283123.136114784
2019-02-16,262540.651180625
2019-02-17,302192.777146633
2019-02-18,540622.915324735
2019-02-19,564039.716220979
2019-02-20,463091.469409086
2019-02-21,1758602.34628844
2019-02-22,617619.417219586
2019-02-23,454036.84198524
2019-02-24,711865.176869768
2019-02-25,890845.545846011
2019-02-26,540616.308744254
2019-02-27,871148.545783709
2019-02-28,561656.675806783
2019-03-01,434533.365835827
2019-03-02,317864.978047082
2019-03-03,347731.529840994
2019-03-04,565605.223636009
2019-03-05,532319.800283253
2019-03-06,519970.278684307
2019-03-07,664489.912811785
2019-03-08,1014568.52209676
2019-03-09,553599.406940352
2019-03-10,551897.036285317
2019-03-11,547472.457220198
2019-03-12,495206.108010233
2019-03-13,478851.480450422
2019-03-14,442367.968344357
2019-03-15,486289.660673392
2019-03-16,380089.619844509
2019-03-17,341791.078306575
2019-03-18,688933.970085183
2019-03-19,474734.669552462
2019-03-20,798427.361633062
2019-03-21,618129.945208667
2019-03-22,491254.932264532
2019-03-23,832029.473246656
2019-03-24,431049.050341662
2019-03-25,550696.856376976
2019-03-26,660919.383111618
2019-03-27,608596.824493688
2019-03-28,510551.966762062
2019-03-29,649368.360322099
2019-03-30,766044.998160128
2019-03-31,509387.43203039
2019-04-01,547470.935827378
2019-04-02,731796.805446068
2019-04-03,725454.972565425
2019-04-04,726925.615750474
2019-04-05,786391.717457577
2019-04-06,414698.872693569
2019-04-07,479374.720082135
2019-04-08,637965.486751832
2019-04-09,712483.026368636
2019-04-10,547543.233977746
2019-04-11,502417.708864754
2019-04-12,617069.043697771
2019-04-13,367525.711480916
2019-04-14,339099.28179758
2019-04-15,503303.370752887
2019-04-16,412187.000789607
2019-04-17,483899.581559415
2019-04-18,498024.088165099
2019-04-19,361095.572945425
2019-04-20,341137.684271541
2019-04-21,391140.692033269
2019-04-22,387572.435082895
2019-04-23,513759.970917619
2019-04-24,609450.982571992
2019-04-25,555470.438156452
2019-04-26,1098853.34245648
2019-04-27,458970.180296072
2019-04-28,516260.634789974
2019-04-29,465471.20104312
2019-04-30,681977.171394623
2019-05-01,624561.267629138
2019-05-02,384008.414255764
2019-05-03,506975.46079065
2019-05-04,429305.971876804
2019-05-05,406420.894075022
2019-05-06,524967.658820402
2019-05-07,641666.611461916
2019-05-08,596014.219045701
2019-05-09,531927.068955889
2019-05-10,542377.838592807
2019-05-11,646117.516582956
2019-05-12,443881.300800576
2019-05-13,787108.467640726
2019-05-14,771150.374497478
2019-05-15,925622.506509971
2019-05-16,1880011.97222236
2019-05-17,1207580.64183145
2019-05-18,980010.449976282
2019-05-19,461303.289339538
2019-05-20,691600.918500265
2019-05-21,672279.243708223
2019-05-22,510737.041852611
2019-05-23,575408.328200484
2019-05-24,602415.912039964
2019-05-25,384408.598898986
2019-05-26,443895.742253283
2019-05-27,542381.525817853
2019-05-28,470191.55381613
2019-05-29,878718.107077146
2019-05-30,746602.742849558
2019-05-31,750893.700484179
2019-06-01,409844.89747875
2019-06-02,391337.771498995
2019-06-03,766907.408761326
2019-06-04,672999.500542174
2019-06-05,1609589.75944413
2019-06-06,439288.511271113
2019-06-07,404354.607333264
2019-06-08,322539.370897096
2019-06-09,494917.007184937
2019-06-10,513613.974366434
2019-06-11,573646.467765765
2019-06-12,576566.19318771
2019-06-13,607190.823557366
2019-06-14,710050.545805381
