Date,indicators/cdd
2017-09-12,30465622.5157805
2017-09-13,66859714.116642
2017-09-14,113071639.34425
2017-09-15,61049511.6159435
2017-09-16,29627354.5799455
2017-09-17,58371922.3316302
2017-09-18,24908621.5851201
2017-09-19,20521922.7714555
2017-09-20,22230930.2002302
2017-09-21,22147065.8973908
2017-09-22,25226292.9890432
2017-09-23,21457372.4857777
2017-09-24,26190274.8133477
2017-09-25,23984055.1218826
2017-09-26,62793018.1592325
2017-09-27,125464786.441611
2017-09-28,31738419.6030848
2017-09-29,15740639.0149651
2017-09-30,20675530.9140272
2017-10-01,199259177.713112
2017-10-02,119878320.101795
2017-10-03,48167609.3793843
2017-10-04,20961434.7106365
2017-10-05,12861344.3397219
2017-10-06,21549303.6940956
2017-10-07,18798186.2906568
2017-10-08,21383788.0673963
2017-10-09,84478578.182353
2017-10-10,32694513.1011354
2017-10-11,28106655.4936831
2017-10-12,23149661.7652387
2017-10-13,28539854.0711257
2017-10-14,19572461.5588705
2017-10-15,30534835.1716407
2017-10-16,21287705.9496773
2017-10-17,102233029.522509
2017-10-18,23978943.7555964
2017-10-19,29192132.7177653
2017-10-20,28096679.298655
2017-10-21,22177821.1688622
2017-10-22,16333816.0169052
2017-10-23,91134532.7925292
2017-10-24,26107428.7606724
2017-10-25,51664256.7296621
2017-10-26,17944778.4205926
2017-10-27,17523701.4330783
2017-10-28,59389782.1644099
2017-10-29,32388398.2456856
2017-10-30,27183261.8636957
2017-10-31,26146334.6182897
2017-11-01,31864467.183351
2017-11-02,28912803.2122523
2017-11-03,22215609.6340323
2017-11-04,20260862.5570967
2017-11-05,27397318.6701217
2017-11-06,71794014.0788956
2017-11-07,33976164.1336324
2017-11-08,193646936.57948
2017-11-09,40589123.4623726
2017-11-10,25205138.9260726
2017-11-11,19926512.0878093
2017-11-12,59866183.6761459
2017-11-13,69340583.6344745
2017-11-14,68865952.4877485
2017-11-15,33754496.1309492
2017-11-16,38951850.3974669
2017-11-17,29476089.783522
2017-11-18,15409332.7717049
2017-11-19,41794877.8265557
2017-11-20,137645771.876867
2017-11-21,163409103.39525
2017-11-22,140356847.368821
2017-11-23,31561744.2072113
2017-11-24,51839971.9038803
2017-11-25,56795447.7720878
2017-11-26,42779629.3432985
2017-11-27,160561888.410032
2017-11-28,51846904.4395491
2017-11-29,128026547.343933
2017-11-30,73470376.8515528
2017-12-01,29217552.6273891
2017-12-02,26535308.0928183
2017-12-03,23533793.1039179
2017-12-04,72939435.4298972
2017-12-05,59943772.9742546
2017-12-06,57814733.7858238
2017-12-07,252707872.592173
2017-12-08,149374609.654743
2017-12-09,25441827.8635682
2017-12-10,70855406.9140131
2017-12-11,33790149.1830687
2017-12-12,148667770.477479
2017-12-13,80466743.630433
2017-12-14,137449062.414565
2017-12-15,36339561.6420409
2017-12-16,149587064.1512
2017-12-17,72571693.447978
2017-12-18,53988160.0602587
2017-12-19,72245420.1184517
2017-12-20,43292266.9449358
2017-12-21,94044118.7888073
2017-12-22,87028314.8170011
2017-12-23,24197902.7254474
2017-12-24,47881508.5959135
2017-12-25,83222853.5057257
2017-12-26,51739384.0371592
2017-12-27,32473627.4565427
2017-12-28,31194833.6363527
2017-12-29,46042940.136404
2017-12-30,26474523.0803097
2017-12-31,179074361.755246
2018-01-01,48926274.099188
2018-01-02,72603910.9419814
2018-01-03,47733164.8483719
2018-01-04,120170445.576218
2018-01-05,63969436.1045643
2018-01-06,135983889.767426
2018-01-07,45351422.7763122
2018-01-08,111944283.746331
2018-01-09,69323966.4542617
2018-01-10,118893681.6221
2018-01-11,83635723.5976501
2018-01-12,162129255.313953
2018-01-13,69600495.971645
2018-01-14,52704177.8686492
2018-01-15,112473562.224145
2018-01-16,66840394.5794408
2018-01-17,66622571.9095954
2018-01-18,33673932.0337848
2018-01-19,45550118.8435736
2018-01-20,38024261.0097768
2018-01-21,30625703.5746357
2018-01-22,109637949.330767
2018-01-23,81653215.388267
2018-01-24,136820095.743144
2018-01-25,82553601.6734822
2018-01-26,34336917.6539196
2018-01-27,26551317.0890907
2018-01-28,46117321.2259896
2018-01-29,86720083.9223739
2018-01-30,47344835.2884749
2018-01-31,74874260.3464203
2018-02-01,40426344.5026565
2018-02-02,70673249.5696677
2018-02-03,40530749.7443137
2018-02-04,28388181.039463
2018-02-05,40959377.6497738
2018-02-06,65907234.9589506
2018-02-07,115147912.97855
2018-02-08,49765245.6233458
2018-02-09,19463792.8371954
2018-02-10,38071877.5968447
2018-02-11,22957134.2538076
2018-02-12,83906705.4458048
2018-02-13,43506655.9247491
2018-02-14,31257412.2425507
2018-02-15,36981457.7858435
2018-02-16,19680589.651561
2018-02-17,20286141.9636311
2018-02-18,41135856.7403283
2018-02-19,133395600.023354
2018-02-20,25025848.442161
2018-02-21,66714639.3080997
2018-02-22,1100983130.97682
2018-02-23,25521159.5386597
2018-02-24,17873225.7474666
