Date,supply/active_1d_1w
2018-11-06,2342432.96204975
2018-11-07,2195594.73810751
2018-11-08,2230186.81051598
2018-11-09,2252137.57708401
2018-11-10,2162039.57432075
2018-11-11,2168225.58583388
2018-11-12,2085893.05692703
2018-11-13,2107951.5570472
2018-11-14,1917976.73646223
2018-11-15,2187778.90851157
2018-11-16,2316107.68942266
2018-11-17,2470245.1307562
2018-11-18,2609965.22414805
2018-11-19,2635774.84761431
2018-11-20,2727890.76846244
2018-11-21,2555368.81891417
2018-11-22,3392869.39958902
2018-11-23,3476609.01059603
2018-11-24,3416853.11950068
2018-11-25,3094833.00435759
2018-11-26,2973483.91586978
2018-11-27,3187918.74110604
2018-11-28,2680187.46993574
2018-11-29,2871390.47458705
2018-11-30,3733175.75633629
2018-12-01,9081993.50367773
2018-12-02,13613248.8417004
2018-12-03,13024519.3694665
2018-12-04,12920135.4039628
2018-12-05,13171890.2485756
2018-12-06,12140599.38964
2018-12-07,7137939.63928117
2018-12-08,2584212.42783567
2018-12-09,2652181.45714466
2018-12-10,2537360.26505264
2018-12-11,2577959.97052426
2018-12-12,2605000.46632869
2018-12-13,2532245.04740119
2018-12-14,3012392.60434633
2018-12-15,3072945.74805222
2018-12-16,2992016.15761022
2018-12-17,2933184.31423224
2018-12-18,2958843.98895364
2018-12-19,3196442.56229732
2018-12-20,2913276.74614747
2018-12-21,2688846.31221979
2018-12-22,3263085.72626128
2018-12-23,3020145.30064564
2018-12-24,2899670.12080805
2018-12-25,3058438.37759407
2018-12-26,2826136.01846077
2018-12-27,2466854.20710382
2018-12-28,2181465.39306512
2018-12-29,2230091.81047497
2018-12-30,2700270.89018971
2018-12-31,2575736.7502903
2019-01-01,2555430.32757282
2019-01-02,2382156.78680716
