Date,mining/marketcap_thermocap_ratio
2017-04-17,2.468944805287941e-07
2017-04-18,2.494673421177705e-07
2017-04-19,2.524920409431285e-07
2017-04-20,2.4443486833877454e-07
2017-04-21,2.4419288445504494e-07
2017-04-22,2.4105942111592136e-07
2017-04-23,2.3880881000725e-07
2017-04-24,2.4298947782337123e-07
2017-04-25,2.431183543489624e-07
2017-04-26,2.5012385621652913e-07
2017-04-27,2.7560877762648746e-07
2017-04-28,3.154509599342797e-07
2017-04-29,3.315549655221355e-07
2017-04-30,3.36390857031596e-07
2017-05-01,3.655138539553778e-07
2017-05-02,3.5220894815880835e-07
2017-05-03,3.5021580590653166e-07
2017-05-04,3.841964133046962e-07
2017-05-05,4.147045211033196e-07
2017-05-06,4.032331209395726e-07
2017-05-07,4.0739583576380364e-07
2017-05-08,3.8188656751476143e-07
2017-05-09,3.5818552514783507e-07
2017-05-10,3.6788230857768546e-07
2017-05-11,3.6221490342421836e-07
2017-05-12,3.570921275048857e-07
2017-05-13,3.4534149744523903e-07
2017-05-14,3.5031748984862275e-07
2017-05-15,3.56550918008815e-07
2017-05-16,3.4866083079778396e-07
2017-05-17,3.3482991913259106e-07
2017-05-18,3.5025393246355924e-07
2017-05-19,4.2245783197150344e-07
2017-05-20,4.653803119457082e-07
2017-05-21,4.891688766939277e-07
2017-05-22,5.773779744494199e-07
2017-05-23,5.854583540746558e-07
2017-05-24,6.485702900542515e-07
2017-05-25,6.741740158647914e-07
2017-05-26,6.039947104651744e-07
2017-05-27,5.067769111931955e-07
2017-05-28,5.587728621607667e-07
2017-05-29,5.735424099655831e-07
2017-05-30,6.450061913752402e-07
2017-05-31,6.904392309079405e-07
2017-06-01,6.732693506096294e-07
2017-06-02,6.54618653156277e-07
2017-06-03,6.487923375339709e-07
2017-06-04,6.787284014867539e-07
2017-06-05,6.884403070406914e-07
2017-06-06,7.061718034402585e-07
2017-06-07,7.026218478903209e-07
2017-06-08,6.769906741072276e-07
2017-06-09,6.918807036209951e-07
2017-06-10,7.539830329050826e-07
2017-06-11,8.359216475152302e-07
2017-06-12,8.800611800796765e-07
2017-06-13,8.986905858106961e-07
2017-06-14,8.547457563835179e-07
2017-06-15,7.1251074226871e-07
2017-06-16,7.561111553181786e-07
2017-06-17,7.672109220092582e-07
2017-06-18,7.625888348529842e-07
2017-06-19,7.326370995247652e-07
2017-06-20,7.246150027219659e-07
2017-06-21,6.466116765528418e-07
2017-06-22,6.266193118000052e-07
2017-06-23,6.255639646883849e-07
2017-06-24,6.061795947419473e-07
2017-06-25,5.498622735560982e-07
2017-06-26,4.733060240267561e-07
2017-06-27,4.4285698513591385e-07
2017-06-28,5.210475281541607e-07
2017-06-29,5.414395528675501e-07
2017-06-30,5.067814944303582e-07
2017-07-01,4.6225957749361937e-07
2017-07-02,4.578207082903887e-07
2017-07-03,4.6721028068768807e-07
2017-07-04,4.5821767459763406e-07
2017-07-05,4.33183518730129e-07
2017-07-06,4.307303265790435e-07
2017-07-07,4.067169059698159e-07
2017-07-08,3.8095528730566983e-07
2017-07-09,3.82721073145398e-07
2017-07-10,3.5088726023304296e-07
2017-07-11,3.01733843236475e-07
2017-07-12,3.113022528003714e-07
2017-07-13,3.1779296319493345e-07
2017-07-14,2.968452259859192e-07
2017-07-15,2.7556258132993697e-07
2017-07-16,2.3091991630357287e-07
2017-07-17,2.526546675767307e-07
2017-07-18,2.956104745760895e-07
2017-07-19,3.2274456930596015e-07
2017-07-20,3.164956784627728e-07
2017-07-21,3.2327997231000037e-07
2017-07-22,3.204964112576063e-07
2017-07-23,3.238351285002915e-07
2017-07-24,3.187431177638107e-07
2017-07-25,2.9368020157692225e-07
2017-07-26,2.7651789446963247e-07
2017-07-27,2.776592731715601e-07
2017-07-28,2.6905122021549383e-07
2017-07-29,2.545381503617422e-07
2017-07-30,2.680810571950642e-07
2017-07-31,2.625297168357778e-07
2017-08-01,2.8856194186080283e-07
2017-08-02,2.930634315228526e-07
2017-08-03,2.927929394090266e-07
2017-08-04,2.913455356814485e-07
2017-08-05,3.0799573840096613e-07
2017-08-06,3.3451829850423e-07
2017-08-07,3.39957354334727e-07
2017-08-08,3.568898352996907e-07
2017-08-09,3.7600414402626313e-07
2017-08-10,3.7573037186995346e-07
2017-08-11,3.7186869435555085e-07
2017-08-12,3.8376164003923876e-07
2017-08-13,3.5947021889453125e-07
2017-08-14,3.6139273190778643e-07
2017-08-15,3.4490866607320383e-07
2017-08-16,3.490703283116139e-07
2017-08-17,3.583611978277095e-07
2017-08-18,3.505281780109868e-07
2017-08-19,3.401599654691151e-07
2017-08-20,3.380226447224504e-07
2017-08-21,3.641692259307985e-07
2017-08-22,3.531268305866847e-07
2017-08-23,3.58982346653797e-07
2017-08-24,3.585587510755483e-07
